# console attached  10:03:52
# move a finger on the trackpad. Ctrl-C to stop.
10:07:53 tp raw=0,-3 out=0,0 hv=0,0
10:07:53 tp raw=0,-7 out=0,-3 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
10:07:53 tp raw=-2,-3 out=0,0 hv=0,0
10:07:53 tp raw=-1,-5 out=0,0 hv=0,0
10:07:53 tp raw=0,-3 out=0,0 hv=0,0
10:07:53 tp raw=-2,-5 out=0,0 hv=0,0
10:07:53 tp raw=-3,-8 out=0,-4 hv=0,0
10:07:53 tp raw=-2,-4 out=0,0 hv=0,0
10:07:53 tp raw=0,-3 out=0,0 hv=0,0
10:07:53 tp raw=0,-5 out=0,0 hv=0,0
10:07:53 tp raw=-5,-5 out=0,0 hv=0,0
10:07:53 tp raw=-2,-1 out=0,0 hv=0,0
10:07:53 tp raw=-2,-2 out=0,0 hv=0,0
10:07:53 tp raw=0,-3 out=0,0 hv=0,0
10:07:53 tp raw=0,-4 out=0,0 hv=0,0
10:07:53 tp raw=0,-1 out=0,0 hv=0,0
10:07:53 tp raw=0,-4 out=0,0 hv=0,0
10:07:53 tp raw=0,-1 out=0,0 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
10:07:53 tp raw=-1,-3 out=0,0 hv=0,0
10:07:53 tp raw=-2,-3 out=0,0 hv=0,0
10:07:53 tp raw=-7,-4 out=-3,0 hv=0,0
10:07:53 tp raw=-2,-5 out=0,0 hv=0,0
10:07:53 tp raw=-1,-1 out=0,0 hv=0,0
10:07:53 tp raw=-2,-2 out=0,0 hv=0,0
10:07:53 tp raw=-2,-2 out=0,0 hv=0,0
10:07:53 tp raw=-3,-1 out=0,0 hv=0,0
10:07:53 tp raw=0,-5 out=0,0 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
10:07:53 tp raw=5,0 out=0,0 hv=0,0
10:07:53 tp raw=0,-2 out=0,0 hv=0,0
10:07:53 tp raw=-7,0 out=-3,0 hv=0,0
10:07:53 tp raw=5,-1 out=0,0 hv=0,0
10:07:53 tp raw=0,-3 out=0,0 hv=0,0
10:07:53 tp raw=-5,-2 out=0,0 hv=0,0
10:07:54 tp raw=-2,-2 out=0,0 hv=0,0
10:07:54 tp raw=0,-1 out=0,0 hv=0,0
10:07:54 tp raw=-1,-2 out=0,0 hv=0,0
10:07:54 tp raw=-4,0 out=0,0 hv=0,0
10:07:54 tp raw=-2,-2 out=0,0 hv=0,0
10:07:54 tp raw=0,-1 out=0,0 hv=0,0
10:07:54 tp raw=0,-4 out=0,0 hv=0,0
10:07:54 tp raw=-3,-3 out=0,0 hv=0,0
10:07:54 tp raw=0,-3 out=0,0 hv=0,0
10:07:54 tp raw=5,-2 out=0,0 hv=0,0
10:07:54 tp raw=-5,0 out=0,0 hv=0,0
10:07:54 tp raw=0,-1 out=0,0 hv=0,0
10:07:54 tp raw=0,-2 out=0,0 hv=0,0
10:07:54 tp raw=-2,-3 out=0,0 hv=0,0
10:07:54 tp raw=0,-4 out=0,0 hv=0,0
10:07:54 tp raw=-3,-3 out=0,0 hv=0,0
10:07:54 tp raw=-2,-2 out=0,0 hv=0,0
10:07:54 tp raw=0,-1 out=0,0 hv=0,0
10:07:54 tp raw=5,0 out=0,0 hv=0,0
10:07:54 tp raw=0,-2 out=0,0 hv=0,0
